"","Name","Ticker","Sector","name_tick"
"135","Victoria Properties","VIPRO.CO","Financials","Victoria Properties (VIPRO.CO)"
"136","AAC Clyde Space","AAC.FI","Technology","AAC Clyde Space (AAC.FI)"
"137","ArcAroma B","AAP-B.FI","Industrials","ArcAroma B (AAP-B.FI)"
"138","Acarix","ACARIX.FI","Health Care","Acarix (ACARIX.FI)"
"139","Acrinova","ACRI.FI","Financials","Acrinova (ACRI.FI)"
"140","Advenica AB","ADVE.FI","Technology","Advenica AB (ADVE.FI)"
"141","Ages Industri B","AGES-B.FI","Industrials","Ages Industri B (AGES-B.FI)"
"142","AlzeCure Pharma","ALZCUR.FI","Health Care","AlzeCure Pharma (ALZCUR.FI)"
"143","Amasten Fastighets","AMAST.FI","Financials","Amasten Fastighets (AMAST.FI)"
"144","Amasten Fastighets Pref","AMAST-PREF.FI","Financials","Amasten Fastighets Pref (AMAST-PREF.FI)"
"145","Aspire Global","ASPIRE.FI","Consumer Services","Aspire Global (ASPIRE.FI)"
"146","Auriant Mining","AUR.FI","Basic Materials","Auriant Mining (AUR.FI)"
"147","Avensia","AVEN.FI","Technology","Avensia (AVEN.FI)"
"148","Biovica International B","BIOVIC-B.FI","Health Care","Biovica International B (BIOVIC-B.FI)"
"149","ByggPartner","BYGGP.FI","Industrials","ByggPartner (BYGGP.FI)"
"150","CAG Group","CAG.FI","Technology","CAG Group (CAG.FI)"
"151","Cibus Nordic Real Estate","CIBUS.FI","Financials","Cibus Nordic Real Estate (CIBUS.FI)"
"152","Climeon B","CLIME-B.FI","Oil & Gas","Climeon B (CLIME-B.FI)"
"153","DevPort B","DEVP-B.FI","Industrials","DevPort B (DEVP-B.FI)"
"154","DistIT","DIST.FI","Technology","DistIT (DIST.FI)"
"155","Drillcon","DRIL.FI","Basic Materials","Drillcon (DRIL.FI)"
"156","GomSpace Group","GOMX.FI","Technology","GomSpace Group (GOMX.FI)"
"157","Genova Property Group Pref","GPG-PREF.FI","Financials","Genova Property Group Pref (GPG-PREF.FI)"
"158","Infrea","INFREA.FI","Industrials","Infrea (INFREA.FI)"
"159","IRLAB Therapeutics A","IRLAB-A.FI","Health Care","IRLAB Therapeutics A (IRLAB-A.FI)"
"160","IRRAS","IRRAS.FI","Health Care","IRRAS (IRRAS.FI)"
"161","IRRAS AB BTA","IRRAS-BTA.FI","Health Care","IRRAS AB BTA (IRRAS-BTA.FI)"
"162","IRRAS AB TR","IRRAS-TR.FI","Health Care","IRRAS AB TR (IRRAS-TR.FI)"
"163","Isofol Medical","ISOFOL.FI","Health Care","Isofol Medical (ISOFOL.FI)"
"164","iZafe Group B","IZAFE-B.FI","Health Care","iZafe Group B (IZAFE-B.FI)"
"165","iZafe Group AB TO 8 B","IZAFE-TO-8-B.FI","Health Care","iZafe Group AB TO 8 B (IZAFE-TO-8-B.FI)"
"166","Jetpak Top Holding","JETPAK.FI","Industrials","Jetpak Top Holding (JETPAK.FI)"
"167","Kancera","KAN.FI","Health Care","Kancera (KAN.FI)"
"168","Kancera AB BTU","KAN-BTU.FI","Health Care","Kancera AB BTU (KAN-BTU.FI)"
"169","Lauritz.com Group","LAUR.FI","Consumer Services","Lauritz.com Group (LAUR.FI)"
"170","Lyko Group A","LYKO-A.FI","Consumer Services","Lyko Group A (LYKO-A.FI)"
"171","MAG Interactive","MAGI.FI","Consumer Goods","MAG Interactive (MAGI.FI)"
"172","Mangold","MANG.FI","Financials","Mangold (MANG.FI)"
"173","Mentice","MNTC.FI","Technology","Mentice (MNTC.FI)"
"174","Net Gaming Europe","NETG.FI","Consumer Services","Net Gaming Europe (NETG.FI)"
"175","Nexam Chemical Holding","NEXAM.FI","Basic Materials","Nexam Chemical Holding (NEXAM.FI)"
"176","Nexam Chemical Holding AB BTU","NEXAM-BTU.FI","Basic Materials","Nexam Chemical Holding AB BTU (NEXAM-BTU.FI)"
"177","Ovzon","OVZON.FI","Telecommunications","Ovzon (OVZON.FI)"
"178","Paradox Interactive","PDX.FI","Consumer Goods","Paradox Interactive (PDX.FI)"
"179","Pegroco Invest Pref","PEGRO-PREF.FI","Financials","Pegroco Invest Pref (PEGRO-PREF.FI)"
"180","Precio Fishbone B","PRCO-B.FI","Technology","Precio Fishbone B (PRCO-B.FI)"
"181","Prime Living","PRIME.FI","Financials","Prime Living (PRIME.FI)"
"182","Prime Living Pref B","PRIME-PREF-B.FI","Financials","Prime Living Pref B (PRIME-PREF-B.FI)"
"183","QleanAir Holding","QAIR.FI","Industrials","QleanAir Holding (QAIR.FI)"
"184","Raketech Group Holding","RAKE.FI","Consumer Services","Raketech Group Holding (RAKE.FI)"
"185","SaltX Technology Holding B","SALT-B.FI","Industrials","SaltX Technology Holding B (SALT-B.FI)"
"186","SaltX Technology Holding AB TO6 B","SALT-TO6-B.FI","Industrials","SaltX Technology Holding AB TO6 B (SALT-TO6-B.FI)"
"187","Samhällsbyggnads i Norden Pref","SBB-PREF.FI","Financials","Samhällsbyggnads i Norden Pref (SBB-PREF.FI)"
"188","Sdiptech B","SDIP-B.FI","Industrials","Sdiptech B (SDIP-B.FI)"
"189","Sdiptech Pref","SDIP-PREF.FI","Industrials","Sdiptech Pref (SDIP-PREF.FI)"
"190","Seamless Distribution Systems","SDS.FI","Technology","Seamless Distribution Systems (SDS.FI)"
"191","Stillfront Group","SF.FI","Consumer Goods","Stillfront Group (SF.FI)"
"192","SpectraCure","SPEC.FI","Health Care","SpectraCure (SPEC.FI)"
"193","Speqta","SPEQT.FI","Technology","Speqta (SPEQT.FI)"
"194","Sprint Bioscience","SPRINT.FI","Health Care","Sprint Bioscience (SPRINT.FI)"
"195","Sprint Bioscience AB TO2","SPRINT-TO2.FI","Health Care","Sprint Bioscience AB TO2 (SPRINT-TO2.FI)"
"196","TerraNet Holding B","TERRNT-B.FI","Technology","TerraNet Holding B (TERRNT-B.FI)"
"197","Transcendent Group","TRG.FI","Industrials","Transcendent Group (TRG.FI)"
"198","Trianon B","TRIAN-B.FI","Financials","Trianon B (TRIAN-B.FI)"
"199","Verisec","VERI.FI","Technology","Verisec (VERI.FI)"
"200","24Storage","24STOR.FI","Consumer Services","24Storage (24STOR.FI)"
"201","2cureX","2CUREX.FI","Health Care","2cureX (2CUREX.FI)"
"202","Tre Kronor Property Investment","3KR.FI","Financials","Tre Kronor Property Investment (3KR.FI)"
"203","AAC Clyde Space","AAC.FI","Technology","AAC Clyde Space (AAC.FI)"
"204","ArcAroma B","AAP-B.FI","Industrials","ArcAroma B (AAP-B.FI)"
"205","Absolent Group","ABSO.FI","Industrials","Absolent Group (ABSO.FI)"
"206","Acarix","ACARIX.FI","Health Care","Acarix (ACARIX.FI)"
"207","Acconeer","ACCON.FI","Technology","Acconeer (ACCON.FI)"
"208","Acrinova","ACRI.FI","Financials","Acrinova (ACRI.FI)"
"209","AdderaCare","ADDERA.FI","Health Care","AdderaCare (ADDERA.FI)"
"210","ADDvise Group A","ADDV-A.FI","Health Care","ADDvise Group A (ADDV-A.FI)"
"211","ADDvise Group B","ADDV-B.FI","Health Care","ADDvise Group B (ADDV-B.FI)"
"212","ADDvise Group AB TO 1","ADDV-TO-1.FI","Health Care","ADDvise Group AB TO 1 (ADDV-TO-1.FI)"
"213","Adventure Box Technology","ADVBOX.FI","Technology","Adventure Box Technology (ADVBOX.FI)"
"214","Advenica AB","ADVE.FI","Technology","Advenica AB (ADVE.FI)"
"215","AFRICA ENERGY CORP.","AEC.FI","Oil & Gas","AFRICA ENERGY CORP. (AEC.FI)"
"216","Svenska Aerogel Holding","AERO.FI","Basic Materials","Svenska Aerogel Holding (AERO.FI)"
"217","Ages Industri B","AGES-B.FI","Industrials","Ages Industri B (AGES-B.FI)"
"218","Aino Health","AINO.FI","Health Care","Aino Health (AINO.FI)"
"219","Byggmästare A J Ahlström H","AJA-B.FI","Financials","Byggmästare A J Ahlström H (AJA-B.FI)"
"220","Akelius Residential Prop. D","AKEL-D.FI","Financials","Akelius Residential Prop. D (AKEL-D.FI)"
"221","Alcadon Group","ALCA.FI","Technology","Alcadon Group (ALCA.FI)"
"222","Alelion Energy Systems","ALELIO.FI","Industrials","Alelion Energy Systems (ALELIO.FI)"
"223","ALLGON B","ALLG-B.FI","Technology","ALLGON B (ALLG-B.FI)"
"224","ALM Equity","ALM.FI","Financials","ALM Equity (ALM.FI)"
"225","ALM Equity Pref","ALM-PREF.FI","Financials","ALM Equity Pref (ALM-PREF.FI)"
"226","Alzinova","ALZ.FI","Health Care","Alzinova (ALZ.FI)"
"227","AlzeCure Pharma","ALZCUR.FI","Health Care","AlzeCure Pharma (ALZCUR.FI)"
"228","Amasten Fastighets","AMAST.FI","Financials","Amasten Fastighets (AMAST.FI)"
"229","Amasten Fastighets Pref","AMAST-PREF.FI","Financials","Amasten Fastighets Pref (AMAST-PREF.FI)"
"230","Annexin Pharmaceuticals","ANNX.FI","Health Care","Annexin Pharmaceuticals (ANNX.FI)"
"231","Anoto Group AB TO 18","ANOT-TO-18.FI","Technology","Anoto Group AB TO 18 (ANOT-TO-18.FI)"
"232","Arcoma","ARCOMA.FI","Health Care","Arcoma (ARCOMA.FI)"
"233","Arctic Minerals","ARCT.FI","Basic Materials","Arctic Minerals (ARCT.FI)"
"234","AroCell","AROC.FI","Health Care","AroCell (AROC.FI)"
"235","Aros Bostadsutveckling Pref","AROS-PREF.FI","Financials","Aros Bostadsutveckling Pref (AROS-PREF.FI)"
"236","Artificial Solutions Intern.","ASAI.FI","Technology","Artificial Solutions Intern. (ASAI.FI)"
"237","Asarina Pharma","ASAP.FI","Health Care","Asarina Pharma (ASAP.FI)"
"238","Aspire Global","ASPIRE.FI","Consumer Services","Aspire Global (ASPIRE.FI)"
"239","Atari SDB","ATA-SDB.FI","Consumer Goods","Atari SDB (ATA-SDB.FI)"
"240","Atvexa B","ATVEXA-B.FI","Consumer Services","Atvexa B (ATVEXA-B.FI)"
"241","Auriant Mining","AUR.FI","Basic Materials","Auriant Mining (AUR.FI)"
"242","Avensia","AVEN.FI","Technology","Avensia (AVEN.FI)"
"243","Avtech Sweden B","AVT-B.FI","Technology","Avtech Sweden B (AVT-B.FI)"
"244","Awardit","AWRD.FI","Technology","Awardit (AWRD.FI)"
"245","aXichem A","AXIC-A.FI","Basic Materials","aXichem A (AXIC-A.FI)"
"246","Axolot Solutions Holding","AXOLOT.FI","Industrials","Axolot Solutions Holding (AXOLOT.FI)"
"247","Ayima Group B","AYIMA-B.FI","Technology","Ayima Group B (AYIMA-B.FI)"
